gaussian_nb,bernoulli_nb,decision_tree,knn,logistic_regression,random_forest,gradient_boosting,hist_gradient_boosting,lgbm,xgb,cat_boost
0.8032722448779049,0.7726133739497862,0.7261828723038373,0.7926104259814278,0.8076450646096398,0.8067115412961234,0.8166855009089569,0.8174224929985752,0.8171768289687024,0.8140323293863313,0.8148675870878986
0.8011104014150248,0.7660787107551712,0.7235788335871861,0.7863214268166855,0.8069572053259961,0.8006190733552793,0.813197071684764,0.8141797278042548,0.8136392669385348,0.8100525721023928,0.8104947673561637
0.7990959563700682,0.7682405542180514,0.7265268019456591,0.7885324030855402,0.8043040338033705,0.8000786124895592,0.8135410013265858,0.8128531420429421,0.8132462044907385,0.8099051736844691,0.8124600795951457
0.8000196540880503,0.7757959905660378,0.722877358490566,0.789308176100629,0.8063580974842768,0.8015919811320755,0.8160377358490566,0.8162342767295597,0.8157429245283019,0.8129422169811321,0.8148584905660378
0.7993317610062893,0.7638561320754716,0.7237617924528302,0.7895538522012578,0.8083235062893082,0.801248034591195,0.8128930817610063,0.813875786163522,0.8141705974842768,0.8092079402515723,0.8118612421383647
0.8011595342209994,0.7719746474721171,0.7225961774676952,0.7899081216528276,0.8069572053259961,0.8027809168181594,0.8144253918341277,0.8136883997445095,0.8149658526998477,0.8105930329681128,0.8126566108190438
0.8018473935046431,0.7701567336510589,0.7254458802142191,0.7892693951751585,0.807743330221589,0.8016017294747703,0.8154571807595932,0.8158993760133642,0.8165381024910333,0.812312681177222,0.8141797278042548
0.7984572298923992,0.767307030904535,0.7211713260944332,0.7856335675330418,0.8046479634451924,0.7999312140716356,0.813295337296713,0.8124109467891711,0.8115756890876038,0.8080872598634108,0.8089225175649781
0.8022798742138365,0.7706367924528302,0.7253341194968553,0.7906348270440252,0.808372641509434,0.8029677672955975,0.8156446540880503,0.8160377358490566,0.8168238993710691,0.812745676100629,0.8144654088050315
0.7998231132075472,0.7662637578616353,0.7209610849056604,0.7863600628930818,0.8063580974842768,0.8002161949685535,0.8136792452830188,0.8153007075471698,0.8151041666666666,0.8115172955974843,0.8116647012578616
0.7999803468776102,0.7688792806957205,0.7242666928708299,0.7884832702795657,0.8063676116543016,0.8006682061612539,0.8117230875055275,0.8131479388787893,0.812754876430993,0.8095121112366728,0.810249103326291
0.8007173389672284,0.7722694443079644,0.7235788335871861,0.7892202623691839,0.8071046037439198,0.8023387215643886,0.816783766520906,0.8158993760133642,0.8169802977448042,0.8123618139831966,0.8151623839237458
0.7970815113251117,0.7671104996806367,0.7258389426620154,0.7891711295632093,0.8045005650272687,0.8014543310568466,0.8124109467891711,0.8131479388787893,0.8134918685206112,0.8100525721023928,0.8099051736844691
0.8033608490566038,0.7686222484276729,0.72749606918239,0.7897012578616353,0.8081761006289309,0.8025255503144654,0.8141705974842768,0.8144162735849056,0.8147110849056604,0.8108785377358491,0.8133844339622641
0.8015919811320755,0.7694084119496856,0.7218946540880503,0.7869005503144654,0.8071442610062893,0.8035082547169812,0.8172661163522013,0.8170204402515723,0.8166764937106918,0.8130896226415094,0.8154481132075472
0.8005699405493047,0.7686827494718224,0.7226453102736697,0.7901046528767258,0.8069080725200216,0.800324276519432,0.8141797278042548,0.8136392669385348,0.8150149855058222,0.8113791578637056,0.8128531420429421
0.7983098314744755,0.7709919913526262,0.7217609197661279,0.7884832702795657,0.804795361863116,0.8020439247285412,0.8136883997445095,0.8135901341325603,0.813295337296713,0.809708642460571,0.8120178843413748
0.7991942219820174,0.7663735075910185,0.7254458802142191,0.7892693951751585,0.8063184788483271,0.8011595342209994,0.8142288606102295,0.8141797278042548,0.8143762590281531,0.8101999705203164,0.8126074780130693
0.800560141509434,0.7701454402515723,0.7264642295597484,0.7874410377358491,0.8070459905660378,0.8020833333333334,0.8155955188679245,0.8153498427672956,0.815939465408805,0.8125982704402516,0.8132861635220126
0.8048840408805031,0.7702928459119497,0.7244005503144654,0.78812893081761,0.8094536163522013,0.8025255503144654,0.8155955188679245,0.8163816823899371,0.8163816823899371,0.8125982704402516,0.8142688679245284
0.7991942219820174,0.7646047265759347,0.7232840367513389,0.7866162236525328,0.8046479634451924,0.8021421903404904,0.8133936029086621,0.813295337296713,0.8130005404608657,0.8110843610278583,0.8121652827592983
0.8016017294747703,0.7698619368152115,0.7259863410799391,0.7890728639512603,0.8062202132363779,0.8026335184002359,0.8122635483712475,0.8125583452070948,0.8126566108190438,0.8105930329681128,0.8118704859234511
0.8016999950867194,0.7686336166658478,0.7239718960349826,0.7903503169065985,0.8084311895052326,0.8016017294747703,0.8150641183117968,0.8139831965803567,0.8157519775954405,0.8102982361322655,0.8123618139831966
